Model,Latency (ms),Throughput (tokens/sec),ROUGE-1,ROUGE-2,ROUGE-L,BLEU Score,CHRF Score,Unique n-grams,Entropy,Repeated n-grams (%),Coherence (Cosine Similarity)
INT4DeepSeek-R1-Distill-Qwen-1.5B,7707.976341247559,17.384588907328133,0.1428571428571428,0.05,0.1428571428571428,0.0503446068227303,0.1406866456493381,0.9791666666666666,4.634761657503722,0.0,0.0
INT4DeepSeek-R1-Distill-Qwen-7B,56090.147495269775,2.389011368017896,0.0681818181818181,0.0465116279069767,0.0681818181818181,0.0387138472888192,0.0682625017764336,0.8160919540229885,5.350315334630777,3.4482758620689653,0.0
INT4DeepSeek-R1-Distill-Llama-8B,29102.829933166504,4.604363228858695,0.0681818181818181,0.0465116279069767,0.0681818181818181,0.0255901590405087,0.0657462943708585,0.8863636363636364,5.473580624294531,1.1363636363636365,0.0
INT4qwen2.5-0.5b-instruct,3718.015432357788,35.77177190888036,0.0789473684210526,0.054054054054054,0.0789473684210526,0.0339483954244015,0.0813940147091148,0.696969696969697,5.182563191622859,0.0,0.0
INT4qwen2.5-1.5b-instruct,3660.7508659362793,9.834048073302192,0.3529411764705882,0.2666666666666667,0.3529411764705882,0.2140909265975804,0.2989303567713718,0.9411764705882352,3.734521664779752,0.0,0.0
INT4qwen2.5-3b-instruct,6167.704343795776,3.242697588142081,0.5,0.3333333333333333,0.5,0.2984745896009823,0.3151663151663151,0.8888888888888888,2.725480556997868,0.0,0.0
INT4qwen2.5-7b-instruct,28736.822605133057,4.628208268795978,0.0615384615384615,0.0317460317460317,0.0615384615384615,0.0278438083263775,0.0709180336599263,0.8888888888888888,5.333875392324575,0.0,0.0
INT4tiny-llama-1b-chat,4734.71999168396,28.51277377270744,0.074074074074074,0.050632911392405,0.074074074074074,0.0421667093080309,0.0785752665303753,0.55,4.512492001110319,1.25,0.0
INT4llama-3.2-1b-instruct,5683.32839012146,23.5777331172546,0.1132075471698113,0.0784313725490195,0.1132075471698113,0.0401218776374591,0.188787574107971,0.5833333333333334,3.61007166776166,14.285714285714285,0.0
INT4llama-3.2-3b-instruct,13235.87131500244,10.12400293195018,0.0517241379310344,0.0350877192982456,0.0517241379310344,0.0291622159772622,0.0655736528349281,0.2608695652173913,3.50282594697423,0.0,0.0
INT4zephyr-7b-beta,30112.271785736084,4.483222021924905,0.0666666666666666,0.0454545454545454,0.0666666666666666,0.0241915748247312,0.0634091809588424,0.935483870967742,5.806481762856229,0.0,0.0
INT4gemma-2b-it,4337.922811508179,7.837852695257876,0.2352941176470588,0.1333333333333333,0.2352941176470588,0.1431712315455507,0.2166282977428487,0.7647058823529411,3.337175341123077,0.0,0.0
INT4gemma-2-2b-it,4597.316265106201,7.395619104576564,0.2608695652173913,0.1904761904761905,0.2608695652173913,0.1700107809840422,0.2500253190521059,0.9523809523809524,4.297079327540666,0.0,0.0
INT4gemma-2-9b-it,17309.56268310547,2.19531831599009,0.2222222222222222,0.16,0.2222222222222222,0.1410002457876886,0.21321465960841668,0.96,4.563856189774725,0.0,0.0
